反照率 Albedo
UI漫反射立方体贴图 UiDiffuseCubemap
UI镜面立方体贴图 UiSpecularCubemap
UI纹理 UiTexture
UI视频纹理B UiVideoTextureB
UI视频纹理R UiVideoTextureR
UI视频纹理Y UiVideoTextureY
UV噪点纹理 UvNoiseTex
植被弯曲 VegetationBending
脉络数据 VeinsData
顶点法线贴图 VertexNormalMap
远景云图集 VistaCloudAtlas
远景云次表面图集 VistaCloudSubsurfaceAtlas
远景细节反照率 VistaDetailAlbedo
远景细节Nar VistaDetailNar
体积云当前天气图 VolumetricCloudCurrentWeatherMap
体积云细节噪点组合 VolumetricCloudDetailNoiseCombined
体积云噪点组合 VolumetricCloudNoiseCombined
体积云颜色 VolumetricCloudsColor
体积云颜色探针 VolumetricCloudsColorProbe
体积云深度 VolumetricCloudsDepth
体积云深度探针 VolumetricCloudsDepthProbe
体积云上一帧 VolumetricCloudsPrev
体积云最终阴影 VolumetricCloudsShadowsFinal
体积云当前天气 VolumetricCloudsWeatherCurrent
体积云天气图0 VolumetricCloudWeatherMap0
体积云天气图1 VolumetricCloudWeatherMap1
体积当前高空云 VolumetricCurrentHighAltitudeClouds
体积当前高空天气图 VolumetricCurrentHighAltitudeWeatherMap
体积雾3D图像 VolumetricFog3dImage
体积雾3D图像历史 VolumetricFog3dImageHistory
体积高空云0 VolumetricHighAltitudeClouds0
体积高空云1 VolumetricHighAltitudeClouds1
体积高空天气图0 VolumetricHighAltitudeWeatherMap0
体积高空天气图1 VolumetricHighAltitudeWeatherMap1
水焦散 WaterCaustics
水面高度 WaterHeight
水面补丁 WaterPatch
水实时渲染 WaterRt
水目标 WaterTarget
磨损 Wear
磨损遮罩 WearMask
磨损Mra WearMra
风化反照率 WeatheringAlbedo
风化数据遮罩 WeatheringDataMask
风化污垢 WeatheringDirt
风化Nar WeatheringNar
风化特殊 WeatheringSpecial
风矢量场 WindVectorField
世界遮罩 Worldmask
世界覆盖纹理 WorldOverlayTexture
伤口数据 WoundData
伤口导数 WoundDerivative
伤口Lut添加 WoundLutToAdd
伤口法线 WoundNormal
伤口256 Wounds256
伤口512 Wounds512
图集大小比例 AtlasSizeRatio
抗锯齿乘数 AaMultiplier
蓝色像差 AberrateBlue
绿色像差 AberrateGreen
红色像差 AberrateRed
绝对高度 AbsoluteHeight
反照率强度 AlbedoIntensity
地面反照率强度 AlbedoIntensityGround
岩石反照率强度 AlbedoIntensityRock
远景细节反照率强度 AlbedoIntensityVistaDetail
Alpha背景 AlphaBackground
Alpha边框 AlphaBorder
Alpha填充 AlphaFill
Alpha乘数 AlphaMultiplier
环境光量 AmbientAmoint
环境光量 AmbientAmount
角度衰减 AngleFade
角度衰减结束 AngleFadeEnd
角度衰减开始 AngleFadeStart
数组索引 ArrayIndex
图集选择 AtlasSelect
大气边缘光颜色 AtmosphereRimlightColor
大气边缘光强度 AtmosphereRimlightIntensity
背面可见性 BackFaceVisibility
背景平铺 BackgroundTile
基础AO强度 BaseAoIntensity
基础颜色不透明度 BaseColorOpacity
基础法线强度 BaseNormalIntensity
基础不透明度 BaseOpacity
BC乘数 BcMultiplier
生物群落A平铺 BiomeATile
生物群落B平铺 BiomeBTile
黑洞启用 BlackHoleEnable
血液颜色 BloodColor
血液颜色0 BloodColor0
血液颜色1 BloodColor1
血液污垢法线强度 BloodGunkNormalIntensity
血液法线淡出 BloodNormalFade
血液粗糙度 BloodRoughness
血液缩放 BloodScale
血液次表面 BloodSubsurface
血液权重负 BloodWeightsNegative
血液权重正 BloodWeightsPositive
炸弹锐化 BombSharpen
边框衰减 BorderFalloff
边框宽度 BorderWidth
底部颜色色调 BottomColorTint
底部污垢值 BottomDirtValue
包围体积 BoundingVolume
虫污最小值 BugGunkMinimum
虫污权重负 BugGunkWeightsNegative
虫污权重正 BugGunkWeightsPositive
燃烧焦痕 BurnScorch
燃烧焦痕雪融全局湿度 BurnScorchSnowMeltGlobalWetness
相机淡出距离 CameraFadeDistance
披风离地高度 CapeHeightFromGround
披风高度乘数 CapeHeightMult
中心光距离衰减 CenterLightDistanceFalloff
中心光距离乘数 CenterLightDistanceMult
中心光强度 CenterLightIntensity
通道选择 ChannelSelection
文明数量 CivilizationAmount
清漆强度 ClearcoatIntensity
清漆法线混合 ClearcoatNormalMix
清漆粗糙度 ClearcoatRoughness
裁剪盒 ClipBox
裁剪中心 ClipCenter
裁剪距离 ClipDistance
云量 CloudAmount
云颜色 CloudColor
云对比度 CloudContrast
云不透明度 CloudOpacity
云旋转 CloudRotate
云速度U CloudSpeedU
云速度V CloudSpeedV
颜色 Color
颜色边框 ColorBorder
颜色边缘 ColorEdges
颜色填充 ColorFill
颜色强度 ColorIntensity
颜色倾斜 ColorLean
颜色乘数 ColorMult
颜色多重 ColorMulti
颜色色调 ColorTint
颜色变化高地 ColorVariationHighland
颜色变化低地 ColorVariationLowland
锥体半径调整 ConeRadiusAdjust
科里奥利力 CoriolisForce
科里奥利偏移 CoriolisOffset
立方体贴图帧历史失效 CubemapFrameHistoryInvalidation
最暗值 DarkestValue
调试模式 DebugMode
调试空间 DebugSpace
贴花Alpha偏移 DecalAlphaOffset
贴花Alpha锐度 DecalAlphaSharpness
贴花淡出指数 DecalFadeExp
贴花法线强度 DecalNormalIntensity
贴花法线强度 DecalNormalIntentity
贴花法线偏移 DecalNormalOffset
贴花标量场结束 DecalScalarfieldEnd
深水颜色 DeepWaterColor
深度 Depth
深度淡出 DepthFade
深度淡出距离 DepthFadeDist
深度淡出距离 DepthFadeDistance
派生法线Z DeriveNormalZ
去饱和度 Desaturation
细节曲率强度1 DetailCurvIntensity1
细节曲率强度2 DetailCurvIntensity2
细节曲率强度皮革 DetailCurvIntensityLeather
细节曲率强度瓷器 DetailCurvIntensityPorcelain
细节混合权重 DetailMixWeight
细节法线清漆强度 DetailNormClearcoatIntensity
细节法线清漆强度1 DetailNormClearcoatIntensity1
细节法线清漆强度2 DetailNormClearcoatIntensity2
细节法线强度1 DetailNormIntensity1
细节法线强度2 DetailNormIntensity2
细节法线强度皮革 DetailNormIntensityLeather
细节法线强度瓷器 DetailNormIntensityPorcelain
细节法线平铺1 DetailNormTiler1
细节法线平铺2 DetailNormTiler2
细节法线平铺皮革 DetailNormTilerLeather
细节法线平铺瓷器 DetailNormTilerPorcelain
细节法线强度 DetailNormalIntensity
细节法线大小 DetailNormalSize
细节粗糙度清漆强度1 DetailRoughnessClearcoatIntensity1
细节粗糙度清漆强度2 DetailRoughnessClearcoatIntensity2
细节平铺因子乘数 DetailTileFactorMult
开发选择颜色 DevSelectionColor
开发选择遮罩 DevSelectionMask
漫反射强度 DiffuseIntensity
污垢AO DirtAo
污垢AO覆盖 DirtAoCoverage
污垢AO锐度 DirtAoSharpness
污垢颜色 DirtColor
污垢细节AO DirtDetailAo
污垢细节遮罩 DirtDetailMask
污垢细节遮罩 DirtDetailMasking
污垢细节锐度 DirtDetailSharpness
全局污垢量 DirtGlobalAmount
污垢梯度最大 DirtGradientMax
污垢梯度最小 DirtGradientMin
污垢强度 DirtIntensity
污垢金属度 DirtMetallic
污垢粗糙度 DirtRoughness
污垢粗糙度混合 DirtRoughnessBlend
污垢锐度 DirtSharpness
位移UV DisplaceUvs
位移缩放 DisplacementScale
距离淡出偏移 DistFadeOffset
距离速度 DistSpeed
距离平铺 DistTile
扭曲 Distortion
扭曲量 DistortionAmount
磨损UV信息 DistressUvInfo
干燥量 DrynessAmount
灰尘颜色 DustColor
灰尘FBM DustFbm
灰尘不透明度 DustOpacity
灰尘平铺量 DustTilingAmount
边缘淡出偏移 EdgeFadeOffset
边缘淡出色调 EdgeFadeTint
边缘法线强度 EdgeNormalIntensity
边缘法线锐度 EdgeNormalSharpness
自发光UV方向 EmissiveUVDirection
自发光动画 EmissiveAnimation
自发光颜色A EmissiveColorA
自发光内部指数 EmissiveInnerExp
自发光强度 EmissiveIntensity
自发光乘数 EmissiveMult
自发光外部指数 EmissiveOuterExp
自发光强度 EmissiveStrength
自发光波梯度 EmissiveWaveGradient
自发光波大小 EmissiveWaveSize
自发光波速度 EmissiveWaveSpeed
结束淡出指数 EndFadeExp
结束淡出紧密度 EndFadeTightness
结束锥度 EndTaper
环境亮度最小 EnvLumMin
环境亮度最小01 EnvLumMin01
侵蚀乘数 ErodeMult
侵蚀柔和度 ErodeSoftness
曝光 Exposure
淡入深度 FadeDepth
淡入淡出类型 FadeInOutType
淡出Y角度 FadeYAngle
远散射密度 FarScatterDensity
远散射法线强度乘数 FarScatterNormalIntensityMult
耀斑噪点速度 FlareNoiseSpeed
耀斑噪点速度02 FlareNoiseSpeed02
耀斑噪点平铺 FlareNoiseTile
耀斑噪点平铺02 FlareNoiseTile02
耀斑纹理指数 FlareTexExp
闪烁最小 FlickerMin
闪烁速度 FlickerSpd
雾颜色Hax FogColorHax
雾强度 FogIntesity
雾体积反照率强度 FogVolumeAlbedoIntensity
雾体积反照率插值 FogVolumeAlbedoLerp
雾体积颜色 FogVolumeColor
雾体积密度 FogVolumeDensity
雾体积尘度 FogVolumeDustiness
雾体积衰减幂 FogVolumeFalloffPow
雾体积高度 FogVolumeHeight
帧数 Frames
菲涅尔 Fresnel
菲涅尔距离 FresnelDistance
菲涅尔边缘 FresnelEdges
菲涅尔边缘乘数 FresnelEdgesMult
菲涅尔指数 FresnelExp
菲涅尔指数最大 FresnelExpMax
菲涅尔内部 FresnelInterior
菲涅尔最小 FresnelMin
菲涅尔乘数 FresnelMult
霜冻权重 FrostWeight
星系比例对齐 GalaxyScaleAlignment
星系厚度 GalaxyThickness
闪光量 GlintAmount
闪光强度 GlintIntensity
闪光粗糙度 GlintRoughness
闪光大小 GlintSize
故障量 GlitchAmount
故障中心偏移 GlitchCenterOffset
故障颜色 GlitchColor
故障颜色强度 GlitchColorPower
故障网格大小 GlitchGridsize
故障速度 GlitchSpeed
全局细节平铺 GlobalDetailTile
全局表面平铺 GlobalSurfaceTile
辉光对比度 GlowContrast
辉光强度 GlowIntensity
辉光偏移 GlowOffset
辉光温度 GlowTemperature
渐变颜色01 GradientColor01
渐变颜色02 GradientColor02
渐变颜色指数 GradientColorExp
渐变颜色乘数 GradientColorMult
渐变污垢最大高度 GradientDirtMaxheight
渐变污垢最小高度 GradientDirtMinheight
渐变指数 GradientExp
渐变乘数 GradientMult
渐变减去指数 GradientSubtractExp
分级组ID GradingGroupId
分级组ID地面 GradingGroupIdGround
分级组ID遮罩细节 GradingGroupIdMaskedDetails
分级组ID岩石 GradingGroupIdRock
分级组ID次要颜色 GradingGroupIdSecondaryColor
分级组ID第二世界 GradingGroupIdSecondworld
分级组ID第三世界 GradingGroupIdThirdworld
分级组ID树干 GradingGroupIdTrunk
分级组ID远景细节 GradingGroupIdVistaDetail
分级组ID风化 GradingGroupIdWeathering
分级次要组ID GradingSecondaryGroupId
颗粒速度 GrainSpeed
灰度 Greyscale
污垢法线淡出 GunkNormalFade
污垢缩放 GunkScale
高度对比度 HeightContrast
高度湿度和冲刷 HeightWetnessAndWash
高度图法线 HeightmapNormals
命中指数 HitExp
命中R指数 HitRExp
命中R乘数 HitRMult
高度图大小 HmapSize
全息颜色 HologramColor
全息颜色01 HologramColor01
全息隐藏量 HologramHideAmount
全息行星灯光颜色 HologramPlanetLightColors
全息行星位置 HologramPlanetPositions
全息行星缩放乘数 HologramPlanetScaleMultiplier
HUD曲线量 HudCurveAmount
I结束 IEnd
I强度 IIntensity
I开始 IStart
I厚度 IThickness
冰雾颜色 IceFuzzColor
冰雾强度 IceFuzzIntensity
冰次表面颜色 IceSubsurfaceColor
冰次表面扩散 IceSubsurfaceDiffusion
冰次表面强度 IceSubsurfaceIntensity
冰次表面厚度 IceSubsurfaceThickness
冰次表面包裹 IceSubsurfaceWrap
冰色调 IceTint
冰扭曲 IceWarp
忽略粒子颜色 IgnoreParticlecolor
初始生成位置 InitialSpawnPos
实例种子 InstanceSeed
实例化零 InstancingZero
强度 Intensity
交叉亮度 InterserctionBrightness
交叉指数 InterserctionExp
交叉厚度 InterserctionThickness
高度图大小倒数 InvHmapSize
世界倒数 InvWorld
反转菲涅尔 InvertFresnel
I偏移 Ioffset
雅可比衰减 JacobiFalloff
最后世界 LastWorld
熔岩对比度 LavaContrast
熔岩偏移 LavaOffset
熔岩温度 LavaTemperature
镜头裁剪启用 LensCutoutEnabled
镜头偏移 LensOffset
镜头缩放 LensScale
生命周期绘制乘数 LifetimeDrawMult
生命周期指数 LifetimeExp
线性淡出偏移 LinearFadeOffsets
LOD相机位置 LodCameraPos
LOD淡出级别 LodFadeLevel
查找相位速度 LookupPhaseSpeed
查找权重 LookupWeight
亮度最小 LumMin
亮度最小重映射 LumMinRemap
亮度指数 LuminocityExp
亮度不透明度 LuminosityOpacity
LUT对比度 LutContrast
LUT混合生物群落A LutMixBiomeA
LUT混合生物群落B LutMixBiomeB
LUT偏移 LutOffset
遮罩缩放 MaskScale
生物群落遮罩锐度 MaskSharpnessBiome
LUT遮罩锐度 MaskSharpnessLut
遮罩变化 MaskVariation
材质索引 MaterialIndex
材质变量 MaterialVariable
材质湿润度 MaterialWetness
材质1金属度 Material1Metallic
材质2金属度 Material2Metallic
材质3金属度 Material3Metallic
材质4金属度 Material4Metallic
材质5金属度 Material5Metallic
材质6金属度 Material6Metallic
